Date,User,Followers,Retweets,Tweet,MentionedUsers,label,polarityScore,label2,subjectivity
2020-12-31 23:59:56+00:00,dcsdirt,284,0,"@GovRonDeSantis I am in Washoe County, Nevada.  I was #46,000 something, in line for my Covid vaccine.  Due to politicians &amp; prisoners, I’ve dropped down about another thousand.  I guess it doesn’t matter, since we’re all LOCKED DOWN!","[User(username='GovRonDeSantis', id=1058807868, displayname='Ron DeSantis', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",NEGATIVE,0.9977737069129944,SUBJECTIVE,0.8866513967514038
2020-12-31 23:59:48+00:00,kimberlyanndono,985,0,@SaintRPh you gearing up to start giving the Covid vaccine? I got my grandparents and myself on the list at Brookshire’s. They said it would be about a week bc next week will be first responders.,"[User(username='SaintRPh', id=20369095, displayname='Matt Dawson', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",NEGATIVE,0.8978462219238281,SUBJECTIVE,0.6035169363021851
2020-12-31 23:59:43+00:00,VeritasEver,4384,0,"Covid vaccine's biggest obstacle turns out to be leadership, not science https://t.co/Wq2fbHBtCV via @msnbc","[User(username='MSNBC', id=2836421, displayname='MSNBC', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",NEGATIVE,0.9986577033996582,SUBJECTIVE,0.6983137130737305
2020-12-31 23:59:33+00:00,BenBlankley,1542,0,"meanwhile a few weirdos in state government are refusing to get the covid vaccine now because they think those ten or so doses out of our 120,000 dose allocation can magically be transported elsewhere or something
 https://t.co/RC2KGGxzcV",,NEGATIVE,0.9986498951911926,SUBJECTIVE,0.9757000803947449
2020-12-31 23:59:21+00:00,PittsburghNerd,9230,1,"This week Ian is given the #CovidVaccine, listen as he describes what it was like, plus so much more

#PodernFamily #PodNation #PodBreed

https://t.co/S9sLUSsNPe",,NEGATIVE,0.9427494406700134,SUBJECTIVE,0.8745379447937012
2020-12-31 23:59:15+00:00,zsheinberg28,517,0,@nycgov Any update on when non-hospital medical facility staff  in #NYC will be vaccinated and where? Many members of my staff including myself are face to face with high risk patients daily. #COVID19  #CovidVaccine #vaccinerollout  @NYCHealthSystem   @NYGovCuomo  @nycHealthy,"[User(username='nycgov', id=250884927, displayname='City of New York', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='NYCHealthSystem', id=65073830, displayname='NYC Health + Hospitals', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='NYGovCuomo', id=232268199, displayname='Archive: Governor Andrew Cuomo', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='nycHealthy', id=17997467, displayname='nychealthy', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",NEGATIVE,0.9882243871688843,SUBJECTIVE,0.9553689956665039
2020-12-31 23:59:00+00:00,Skorp_17,134,0,"2020 go fuck yourself, might be stupid to blame an arbitrary time period but at least it's therapeutic. 

Lots to look forward to in 2021 with (hopefully) graduating, Covid vaccine rollout, someone vaguely competent in the White House, and a brexit trade deal.

 We go again.",,POSITIVE,0.9976204037666321,SUBJECTIVE,0.9726259708404541
2020-12-31 23:58:50+00:00,justin_indyk,307,3,"I’m feeling so grateful to have received my first dose of the #CovidVaccine. I just got it 24 hrs ago- a sore arm but feeling fine, and well worth it. Thanks to @nationwidekids @OHdeptofhealth and #science

#ThisIsOurShot #ScienceMatters #VaccinesSaveLives https://t.co/thbpUr6uqf","[User(username='nationwidekids', id=19916680, displayname=""Nationwide Children's Hospital"", description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='OHdeptofhealth', id=90422822, displayname='Ohio Dept of Health', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",POSITIVE,0.999569833278656,SUBJECTIVE,0.8864431381225586
2020-12-31 23:58:49+00:00,CesarTrevino11,947,0,@BoesingLoretta Give more COVID vaccine to the independent pharmacies and you’ll see the public vaccinated in no time!,"[User(username='BoesingLoretta', id=1015772191395368962, displayname='Loretta Boesing', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",POSITIVE,0.5212643146514893,SUBJECTIVE,0.912824809551239
2020-12-31 23:58:30+00:00,SocialAisha,556,0,"What is wrong with people?!!😑

Wisconsin hospital employee fired, arrested after 'intentionally' destroying 500 doses of Covid vaccine https://t.co/EddSmqoVyd",,NEGATIVE,0.9994686245918274,SUBJECTIVE,0.7506183981895447
